date,open,high,low,close,volume
2026-01-05,28.50,28.85,28.30,28.75,2150000
2026-01-06,28.75,29.10,28.60,29.00,2280000
2026-01-07,29.00,29.35,28.85,29.20,1980000
2026-01-08,29.20,29.50,29.00,29.35,1850000
2026-01-09,29.35,29.75,29.15,29.65,2420000
2026-01-12,29.65,30.00,29.45,29.90,2310000
2026-01-13,29.90,30.20,29.70,29.85,2050000
2026-01-14,29.85,30.40,29.75,30.25,2580000
2026-01-15,30.25,30.55,30.05,30.35,1920000
2026-01-16,30.35,30.75,30.15,30.60,2350000
2026-01-20,30.60,31.00,30.40,30.85,2480000
2026-01-21,30.85,31.20,30.65,31.05,2180000
2026-01-22,31.05,31.50,30.85,31.40,2650000
2026-01-23,31.40,31.65,31.15,31.30,1980000
2026-01-26,31.30,31.75,31.10,31.60,2380000
2026-01-27,31.60,31.95,31.40,31.80,2250000
2026-01-28,31.80,32.10,31.60,31.70,2020000
2026-01-29,31.70,32.25,31.50,32.10,2720000
2026-01-30,32.10,32.40,31.90,32.20,2180000
2026-02-02,32.20,32.65,32.00,32.50,2520000
2026-02-03,32.50,32.85,32.30,32.70,2350000
2026-02-04,32.70,33.00,32.50,32.65,2080000
2026-02-05,32.65,33.20,32.45,33.05,2780000
2026-02-06,33.05,33.35,32.85,33.15,2320000
2026-02-09,33.15,33.55,32.95,33.40,2580000
2026-02-10,33.40,33.80,33.20,33.65,2650000
