date,open,high,low,close,volume
2026-01-05,52.10,52.45,51.95,52.35,85200
2026-01-06,52.35,52.70,52.20,52.60,91400
2026-01-07,52.60,52.95,52.45,52.85,78600
2026-01-08,52.85,53.10,52.70,52.95,72300
2026-01-09,52.95,53.40,52.80,53.30,98100
2026-01-12,53.30,53.65,53.15,53.55,92700
2026-01-13,53.55,53.80,53.35,53.50,84200
2026-01-14,53.50,54.05,53.40,53.95,105400
2026-01-15,53.95,54.20,53.75,54.00,79800
2026-01-16,54.00,54.50,53.85,54.40,97600
2026-01-20,54.40,54.75,54.25,54.65,103200
2026-01-21,54.65,54.95,54.45,54.75,89500
2026-01-22,54.75,55.20,54.60,55.10,112300
2026-01-23,55.10,55.35,54.90,55.05,82100
2026-01-26,55.05,55.55,54.90,55.45,101400
2026-01-27,55.45,55.75,55.25,55.65,95700
2026-01-28,55.65,55.90,55.45,55.55,83400
2026-01-29,55.55,56.10,55.40,56.00,118200
2026-01-30,56.00,56.25,55.80,56.05,93600
2026-02-02,56.05,56.55,55.90,56.45,108700
2026-02-03,56.45,56.75,56.30,56.65,97200
2026-02-04,56.65,56.95,56.50,56.75,86500
2026-02-05,56.75,57.30,56.60,57.15,121400
2026-02-06,57.15,57.40,56.95,57.25,99800
2026-02-09,57.25,57.70,57.05,57.60,112500
2026-02-10,57.60,58.00,57.40,57.85,116300
