date,open,high,low,close,volume
2026-01-05,452.25,456.50,451.00,455.75,185432
2026-01-06,455.75,458.00,453.25,457.50,192100
2026-01-07,457.50,460.25,456.00,459.00,178300
2026-01-08,459.00,461.50,457.75,458.25,165800
2026-01-09,458.25,462.00,457.00,461.75,201500
2026-01-12,461.75,465.00,460.50,464.50,195000
2026-01-13,464.50,466.25,462.00,463.00,182400
2026-01-14,463.00,467.50,462.50,466.75,210300
2026-01-15,466.75,468.00,464.00,465.25,175600
2026-01-16,465.25,469.50,464.50,468.50,198200
2026-01-20,468.50,472.00,467.25,471.25,205100
2026-01-21,471.25,473.50,469.00,470.00,189700
2026-01-22,470.00,474.75,469.50,473.50,215600
2026-01-23,473.50,475.00,471.00,472.25,178900
2026-01-26,472.25,476.50,471.50,475.75,202300
2026-01-27,475.75,478.00,474.00,477.50,196800
2026-01-28,477.50,479.25,475.50,476.00,183500
2026-01-29,476.00,480.50,475.00,479.75,220100
2026-01-30,479.75,481.00,477.50,478.25,195400
2026-02-02,478.25,482.50,477.00,481.50,208700
2026-02-03,481.50,484.00,480.00,483.25,197300
2026-02-04,483.25,485.50,481.75,482.00,186200
2026-02-05,482.00,486.75,481.00,485.50,225400
2026-02-06,485.50,487.00,483.50,484.75,198600
2026-02-09,484.75,488.25,483.00,487.00,211500
2026-02-10,487.00,490.50,485.50,489.25,218300
