date,open,high,low,close,volume
2026-01-05,1285.00,1292.50,1282.25,1290.75,125600
2026-01-06,1290.75,1298.00,1288.50,1296.25,133400
2026-01-07,1296.25,1302.50,1293.00,1300.00,121800
2026-01-08,1300.00,1305.75,1297.50,1302.50,115200
2026-01-09,1302.50,1310.00,1300.00,1308.25,140100
2026-01-12,1308.25,1315.50,1306.00,1313.75,135700
2026-01-13,1313.75,1318.00,1310.50,1315.25,126400
2026-01-14,1315.25,1322.75,1313.00,1320.50,148900
2026-01-15,1320.50,1325.00,1317.50,1322.00,119600
2026-01-16,1322.00,1330.25,1320.00,1328.75,142300
2026-01-20,1328.75,1335.00,1326.50,1333.25,149800
2026-01-21,1333.25,1338.50,1330.00,1335.00,136200
2026-01-22,1335.00,1342.75,1332.50,1340.50,158400
2026-01-23,1340.50,1345.00,1337.00,1342.25,127600
2026-01-26,1342.25,1350.50,1340.00,1348.75,152100
2026-01-27,1348.75,1355.00,1346.00,1353.25,145800
2026-01-28,1353.25,1358.50,1350.50,1355.00,131200
2026-01-29,1355.00,1362.75,1352.00,1360.50,168300
2026-01-30,1360.50,1365.00,1357.50,1362.25,143700
2026-02-02,1362.25,1370.50,1360.00,1368.75,159800
2026-02-03,1368.75,1375.00,1366.00,1373.25,148200
2026-02-04,1373.25,1378.50,1370.50,1375.00,135600
2026-02-05,1375.00,1385.25,1372.50,1382.50,172400
2026-02-06,1382.50,1388.00,1380.00,1385.75,151800
2026-02-09,1385.75,1393.50,1383.00,1391.25,164200
2026-02-10,1391.25,1398.00,1388.50,1395.50,170100
