date,open,high,low,close,volume
2026-01-05,582.00,586.50,580.25,585.75,142300
2026-01-06,585.75,589.00,584.00,588.25,151200
2026-01-07,588.25,591.50,586.50,590.00,138700
2026-01-08,590.00,593.25,588.00,591.50,132100
2026-01-09,591.50,595.00,590.00,594.25,158400
2026-01-12,594.25,597.50,592.75,596.00,149800
2026-01-13,596.00,598.75,594.00,595.25,141500
2026-01-14,595.25,600.00,594.50,598.75,165200
2026-01-15,598.75,601.25,596.50,597.50,136900
2026-01-16,597.50,603.00,596.00,602.25,155700
2026-01-20,602.25,605.50,600.75,604.00,162300
2026-01-21,604.00,607.25,602.00,605.50,148600
2026-01-22,605.50,609.00,604.00,608.25,172100
2026-01-23,608.25,610.50,606.00,607.00,139800
2026-01-26,607.00,612.75,605.50,611.50,158900
2026-01-27,611.50,614.00,609.50,613.25,153200
2026-01-28,613.25,615.50,611.00,612.00,140700
2026-01-29,612.00,617.25,610.50,616.00,175400
2026-01-30,616.00,618.50,614.00,615.25,149100
2026-02-02,615.25,620.00,613.50,618.75,166800
2026-02-03,618.75,621.25,616.50,620.50,155300
2026-02-04,620.50,623.00,618.75,619.25,143700
2026-02-05,619.25,625.50,618.00,624.00,178200
2026-02-06,624.00,626.25,622.00,623.50,152600
2026-02-09,623.50,628.00,621.50,626.75,169400
2026-02-10,626.75,630.50,624.50,629.00,175800
