date,region_id,temp_max_c,temp_min_c,precip_mm,humidity_pct,wind_kph,solar_rad_mj,soil_moisture_pct
2026-01-05,US_CORN_BELT,-5.2,-12.8,0.0,62,18.5,8.2,28.5
2026-01-05,US_WHEAT_PLAINS,-2.1,-10.5,2.3,55,22.0,9.5,22.0
2026-01-05,BRAZIL_SOY,32.5,22.1,15.8,78,8.5,22.1,65.0
2026-01-05,EU_WHEAT_FRANCE,4.2,-1.5,5.2,72,14.0,4.5,45.0
2026-01-05,INDIA_WHEAT_PUNJAB,18.5,5.2,0.0,48,6.5,14.8,32.0
2026-01-12,US_CORN_BELT,-3.8,-11.2,1.5,65,15.2,8.8,29.0
2026-01-12,US_WHEAT_PLAINS,-1.5,-9.8,0.5,52,20.5,10.2,21.5
2026-01-12,BRAZIL_SOY,33.8,23.0,8.2,75,9.2,23.5,62.0
2026-01-12,EU_WHEAT_FRANCE,5.5,0.2,8.5,78,16.5,3.8,48.0
2026-01-12,INDIA_WHEAT_PUNJAB,19.2,6.0,0.5,45,7.0,15.2,30.5
2026-01-19,US_CORN_BELT,-2.5,-10.0,3.2,68,12.8,9.5,30.5
2026-01-19,US_WHEAT_PLAINS,0.5,-8.2,1.8,58,18.0,11.0,23.0
2026-01-19,BRAZIL_SOY,35.2,24.5,3.5,68,7.8,25.0,55.0
2026-01-19,EU_WHEAT_FRANCE,3.8,-0.8,12.5,82,18.0,3.2,52.0
2026-01-19,INDIA_WHEAT_PUNJAB,20.5,7.2,2.0,50,5.8,14.5,33.0
2026-01-26,US_CORN_BELT,-1.2,-9.5,5.0,72,10.5,10.2,32.0
2026-01-26,US_WHEAT_PLAINS,2.0,-6.5,3.5,60,15.5,12.0,25.0
2026-01-26,BRAZIL_SOY,36.8,25.2,1.2,62,6.5,26.5,48.0
2026-01-26,EU_WHEAT_FRANCE,6.2,1.5,3.8,70,12.0,5.5,46.0
2026-01-26,INDIA_WHEAT_PUNJAB,22.0,8.5,0.0,42,8.2,16.0,28.0
2026-02-02,US_CORN_BELT,0.5,-8.0,2.8,70,14.0,11.5,31.0
2026-02-02,US_WHEAT_PLAINS,3.5,-5.0,1.2,55,17.5,13.0,24.0
2026-02-02,BRAZIL_SOY,34.5,23.8,22.5,82,7.0,20.0,70.0
2026-02-02,EU_WHEAT_FRANCE,7.5,2.8,6.5,75,10.5,6.8,44.0
2026-02-02,INDIA_WHEAT_PUNJAB,23.5,9.8,0.0,38,9.5,17.0,25.0
2026-02-09,US_CORN_BELT,2.0,-6.5,1.5,65,12.0,12.8,30.0
2026-02-09,US_WHEAT_PLAINS,5.0,-3.5,0.8,50,15.0,14.5,22.5
2026-02-09,BRAZIL_SOY,33.0,22.5,18.5,80,8.0,21.5,68.0
2026-02-09,EU_WHEAT_FRANCE,8.0,3.2,4.0,68,9.0,7.5,42.0
2026-02-09,INDIA_WHEAT_PUNJAB,25.0,11.0,0.0,35,10.5,18.0,22.0
